question,answer,class,user
update my skills,Trainings and certifications details can be updated in Career tab under My Profile.<br><br> Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Career,update,employee
update my experience,Trainings and certifications details can be updated in Career tab under My Profile.<br><br> Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Career,update,employee
skills and expereince,Trainings and certifications details can be updated in Career tab under My Profile.<br><br> Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Career,update,employee
Where can I check for my work experience details?,"The  Talent  link under Actions provides access to view and edit the employee experience, education, trainings and certification details. The details are also accessible under My profile, in the Career tab<br><br> Go to:<br><br> &#9673; My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Talent<br><br> &#9673; View Skills and Experience.<br><br> Go to:<br><br> &#9673; My Account<br><br> &#9673; View Profile<br><br> &#9673; Career",check,employee
my work experience,"The  Talent  link under Actions provides access to view and edit the employee experience, education, trainings and certification details. The details are also accessible under My profile, in the Career tab<br><br> Go to:<br><br> &#9673; My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Talent<br><br> &#9673; View Skills and Experience.<br><br> Go to:<br><br> &#9673; My Account<br><br> &#9673; View Profile<br><br> &#9673; Career",check,employee
How can I resign?,"<a href=""https://www.myworkday.com/bcone/d/inst/137/2473978.htmld#TABINDEX=1&SUBTABINDEX=0 ""> Resign </a>",resign,employee
resignation,"<a href=""https://www.myworkday.com/bcone/d/inst/137/2473978.htmld#TABINDEX=1&SUBTABINDEX=0 ""> Resign </a>",resign,employee
resign,"<a href=""https://www.myworkday.com/bcone/d/inst/137/2473978.htmld#TABINDEX=1&SUBTABINDEX=0 ""> Resign </a>",resign,employee
What is the purpose of the Job Change link under Actions in view profile?,Go to: <br><br> &#9673;Team Member’s Profile<br><br> &#9673; Actions<br><br> &#9673; Job Change For an employee: The  Job Change  link gives access to initiate the exit process with the company. <br><br>Go to:<br><br> &#9673; My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Job Change,job change,employee
job change,Go to: <br><br> &#9673;Team Member’s Profile<br><br> &#9673; Actions<br><br> &#9673; Job Change For an employee: The  Job Change  link gives access to initiate the exit process with the company. <br><br>Go to:<br><br> &#9673; My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Job Change,job change,employee
How do I create an RRF?,The process of creating RRF would be on PPM. RRF once approved would flow into Workday for the recruitment team to start the recruitment process.,create,manager
create rrf,The process of creating RRF would be on PPM. RRF once approved would flow into Workday for the recruitment team to start the recruitment process.,create,manager
How to fill a technical evaluation form?,Technical evaluation form would be available as a task under the Workday Inbox. <br><br>Go to:<br><br> &#9673; My Account<br><br> &#9673; Inbox <br><br> &#9673;  Action <br><br> &#9673;  request,fill,manager
technical evaluation,Technical evaluation form would be available as a task under the Workday Inbox. <br><br>Go to:<br><br> &#9673; My Account<br><br> &#9673; Inbox <br><br> &#9673;  Action <br><br> &#9673;  request,fill,manager
How to check my team members’ name(s)?,"All team related details shall be available on the Home page under My Team worklet, under Org Chart. <br><br>Go to:<br><br> &#9673; Home<br><br> &#9673; My team <br><br> &#9673;  My Org chart",check,manager
check my team,"All team related details shall be available on the Home page under My Team worklet, under Org Chart. <br><br>Go to:<br><br> &#9673; Home<br><br> &#9673; My team <br><br> &#9673;  My Org chart",check,manager
my team members,"All team related details shall be available on the Home page under My Team worklet, under Org Chart. <br><br>Go to:<br><br> &#9673; Home<br><br> &#9673; My team <br><br> &#9673;  My Org chart",check,manager
What is the  Reports worklet that I see on the Home page?,"Reports is a worklet which gives you access to generate reports for your team members, as per your data security access. Depending on the employee’s role, the access to data is controlled by the security setting in Workday.",reports,manager
reports,"Reports is a worklet which gives you access to generate reports for your team members, as per your data security access. Depending on the employee’s role, the access to data is controlled by the security setting in Workday.",reports,manager
How do I delegate tasks on Workday?,You can delegate tasks from your Workday Inbox.,delegate,manager
delegate task,You can delegate tasks from your Workday Inbox.,delegate,manager
send tasks,You can delegate tasks from your Workday Inbox.,delegate,manager
What is the  Actions” link which I see when I click on  View Profile” under my account? ,"The Actions link will enable you to perform all role based transactions on Workday.<br><br> For an Employee:<br><br> &#9733; Access to apply leave, change personal details, view history and task delegations. <br><br> For a Manager: <br><br> &#9733;Similar access like individual employee, with additional access to recruitment and access to initiate job changes for the team member, view team members leave summary etc.",action,manager
actions link,"The Actions link will enable you to perform all role based transactions on Workday.<br><br> For an Employee:<br><br> &#9733; Access to apply leave, change personal details, view history and task delegations. <br><br> For a Manager: <br><br> &#9733;Similar access like individual employee, with additional access to recruitment and access to initiate job changes for the team member, view team members leave summary etc.",action,manager
What is the purpose of the Job Change link under Actions in view profile,"For a Manager:<br> The manager can initiate any job-related changes for his or her team member, e.g. reporting manager change, role band change, location change; by accessing the Job Change link under Actions in their team members profile. The process will go through multiple approval steps.<br><br>Go to: <br><br> &#9673;Team Members Profile<br><br> &#9673; Actions<br><br> &#9673; Job Change",job change,manager
job change,"For a Manager:<br> The manager can initiate any job-related changes for his or her team member, e.g. reporting manager change, role band change, location change; by accessing the Job Change link under Actions in their team members profile. The process will go through multiple approval steps.<br><br>Go to: <br><br> &#9673;Team Members Profile<br><br> &#9673; Actions<br><br> &#9673; Job Change",job change,manager
Is my access restricted on workday?,"Yes, depending on the security access provided for your role, your access to information pertaining to your team, practice, location would be restricted. For instance, compensation details are visible to RB3 and above. Similarly, information such as date of birth would be restricted.",access,employee
restricted access,"Yes, depending on the security access provided for your role, your access to information pertaining to your team, practice, location would be restricted. For instance, compensation details are visible to RB3 and above. Similarly, information such as date of birth would be restricted.",access,employee
login,"Workday has been single sign on enabled, so the login credentials would be your Bristlecone system login and password. <br><br> &#9673; User Name: FName.Lname. <br> &#9673; Password: xxxx (your network password)",login,employee
Hi,Hello! How can I help you?,hi,employee
Hello,Hi there. How may I help you.,hi,employee
bye,Bye,bye,employee
how are you?,I am good. How do you do.,hi,employee
good,Me too.,hi,employee
TC,Hope to see you soon.,bye,employee
Hi there,Hello there,hi,employee
can you help me?,Sure. Tell me. How can I help you?,hi,employee
goodnight,Good Night. Sleep tight,goodnight,employee
goodmorning,Good Morning. How can I help you?,goodmrng,employee
Goodafternoon,Good Afternoon. How can I help you?,goodafternoon,employee
Thank you,"I am glad, I could help.",glad,employee
Thank you,You are most welcome.,glad,employee
qweuwyruewwyri,soil,invalid,employee
 dhing chika,soil,invalid,employee
hkkjkjk,soil,invalid,employee
ojhuhuihioh,soil,invalid,employee
tttttree,soil,invalid,employee
agar tum dekh rage ho,soil,invalid,employee
aur acha hai,soil,invalid,employee
kefkjhkjfhkwjhefkwe,soil,invalid,employee
uegfuqegfuiqfuihqifh,soil,invalid,employee
thth wefkwejfkwe wegwef,soil,invalid,employee
